 	density	u_1	u_2	u_3	sigma_11	sigma_12	I1	I2	I3	dI_1	dI_2	dI_3
0.00175	8.90968	0.122435	0.4981	1.0022	-24.9663	0.765235	-0.137167	-25.5178	3.93502	-25.8964	999.887	3.00584	3.00125	0.995455
0.0018	8.89334	0.132316	0.497898	1.00228	-24.4906	0.754839	-0.13486	-25.178	3.91092	-25.5543	999.913	3.00219	2.99391	0.991807
0.00185	8.87702	0.142196	0.497686	1.00233	-24.0207	0.744531	-0.132713	-24.8408	3.88694	-25.2149	999.942	2.99855	2.9866	0.98817
0.0019	8.86086	0.151965	0.497466	1.00237	-23.5606	0.734408	-0.130742	-24.5091	3.86327	-24.8811	999.974	2.99495	2.97937	0.984576
0.00195	8.845	0.161554	0.497243	1.00239	-23.1134	0.724549	-0.128941	-24.1854	3.8401	-24.5553	1000.01	2.99142	2.97229	0.981053
0.002	8.82955	0.170888	0.497019	1.00239	-22.6825	0.715026	-0.127317	-23.8721	3.81762	-24.2399	1000.04	2.988	2.9654	0.977628
0.00205	8.81464	0.179895	0.496795	1.00237	-22.2709	0.705908	-0.125874	-23.5715	3.79601	-23.9374	1000.07	2.9847	2.95877	0.974331
0.0021	8.80041	0.188504	0.496573	1.00234	-21.8815	0.697262	-0.124616	-23.286	3.77544	-23.6501	1000.1	2.98155	2.95245	0.971187
0.00215	8.78697	0.196645	0.496355	1.00229	-21.517	0.68915	-0.123561	-23.0177	3.75607	-23.38	1000.13	2.97858	2.94649	0.968222
0.0022	8.77443	0.204253	0.496145	1.00223	-21.1797	0.681622	-0.122735	-22.7686	3.73805	-23.1292	1000.15	2.97582	2.94094	0.965461
0.00225	8.76288	0.211273	0.495943	1.00215	-20.8716	0.674717	-0.122154	-22.5403	3.7215	-22.8994	1000.18	2.97328	2.93583	0.962922
0.0023	8.75241	0.217658	0.495747	1.00205	-20.5943	0.668467	-0.121793	-22.3342	3.70654	-22.692	1000.2	2.97098	2.9312	0.960622
0.00235	8.74308	0.223377	0.49556	1.00194	-20.3488	0.662905	-0.121578	-22.1512	3.69323	-22.5078	1000.22	2.96893	2.92709	0.958574
0.0024	8.73493	0.228402	0.495388	1.00183	-20.1354	0.658077	-0.121453	-21.9917	3.68163	-22.3473	1000.24	2.96714	2.92349	0.956787
0.00245	8.72798	0.232718	0.495235	1.00174	-19.954	0.654037	-0.121494	-21.8558	3.67176	-22.2104	1000.24	2.96561	2.92043	0.955266
0.0025	8.72222	0.236324	0.495105	1.00164	-19.8039	0.650834	-0.121934	-21.743	3.66359	-22.0969	1000.25	2.96435	2.9179	0.954005
