 	density	u_1	u_2	u_3	sigma_11	sigma_12	sigma_13	sigma_22	sigma_23	sigma_33	I1	I2	I3	dI_1	dI_2	dI_3
0	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

2e-05	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

4e-05	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

6e-05	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

8e-05	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0001	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00012	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00014	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00016	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00018	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0002	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00022	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00024	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00026	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00028	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0003	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00032	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00034	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00036	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00038	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0004	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00042	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00044	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00046	10.4444	2	-2.85341e-19	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00048	10.4444	2	-2.37784e-18	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0005	10.4444	2	-1.03674e-17	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-4.28657e-12	3.34353	3.71154	1.36794	

0.00052	10.4444	2	-2.2542e-17	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-8.14016e-12	3.34353	3.71154	1.36794	

0.00054	10.4444	2	-5.06481e-17	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-9.9154e-12	3.34353	3.71154	1.36794	

0.00056	10.4444	2	-9.3164e-17	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.40288e-11	3.34353	3.71154	1.36794	

0.00058	10.4444	2	-1.66211e-16	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-2.28617e-11	3.34353	3.71154	1.36794	

0.0006	10.4444	2	-2.99656e-16	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-2.55029e-11	3.34353	3.71154	1.36794	

0.00062	10.4444	2	-5.70302e-16	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-5.30409e-11	3.34353	3.71154	1.36794	

0.00064	10.4444	2	-1.11507e-15	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.04047e-10	3.34353	3.71154	1.36794	

0.00066	10.4444	2	-2.18928e-15	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.88956e-10	3.34353	3.71154	1.36794	

0.00068	10.4444	2	-4.29172e-15	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.7107e-10	3.34353	3.71154	1.36794	

0.0007	10.4444	2	-8.45281e-15	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-7.13649e-10	3.34353	3.71154	1.36794	

0.00072	10.4444	2	-1.66504e-14	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.40374e-09	3.34353	3.71154	1.36794	

0.00074	10.4444	2	-3.27792e-14	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-2.76878e-09	3.34353	3.71154	1.36794	

0.00076	10.4444	2	-6.45239e-14	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-5.45092e-09	3.34353	3.71154	1.36794	

0.00078	10.4444	2	-1.27016e-13	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.07102e-08	3.34353	3.71154	1.36794	

0.0008	10.4444	2	-2.50039e-13	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-2.10746e-08	3.34353	3.71154	1.36794	

0.00082	10.4444	2	-4.92181e-13	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-4.14832e-08	3.34353	3.71154	1.36794	

0.00084	10.4444	2	-9.68806e-13	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-8.16483e-08	3.34353	3.71154	1.36794	

0.00086	10.4444	2	-1.90702e-12	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.60705e-07	3.34353	3.71154	1.36794	

0.00088	10.4444	2	-3.7538e-12	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.16325e-07	3.34353	3.71154	1.36794	

0.0009	10.4444	2	-7.38895e-12	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-6.22628e-07	3.34353	3.71154	1.36794	

0.00092	10.4444	2	-1.45442e-11	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.22556e-06	3.34353	3.71154	1.36794	

0.00094	10.4444	2	-2.86282e-11	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-2.41233e-06	3.34353	3.71154	1.36794	

0.00096	10.4444	2	-5.63504e-11	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-4.7483e-06	3.34353	3.71154	1.36794	

0.00098	10.4444	2	-1.10917e-10	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-9.34626e-06	3.34353	3.71154	1.36794	

0.001	10.4444	2	-2.18323e-10	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.83967e-05	3.34353	3.71154	1.36794	

0.00102	10.4444	2	-4.29735e-10	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.6211e-05	3.34353	3.71154	1.36794	

0.00104	10.4444	2	-8.45869e-10	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-7.12761e-05	3.34353	3.71154	1.36794	

0.00106	10.4444	2	-1.66497e-09	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-0.000140297	3.34353	3.71154	1.36794	

0.00108	10.4444	2	-3.27727e-09	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-0.000276156	3.34353	3.71154	1.36794	

0.0011	10.4444	2	-6.45087e-09	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-0.000543579	3.34353	3.71154	1.36794	

0.00112	10.4444	2	-1.26977e-08	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-0.00106997	3.34353	3.71154	1.36794	

0.00114	10.4444	2	-2.49941e-08	0.0999999	-24.9244	-0.751461	-1.49093	-32.8305	2.21533	-44.3547	-0.00210612	3.34353	3.71154	1.36794	

0.00116	10.4445	2	-4.91983e-08	0.0999999	-24.9245	-0.751463	-1.49094	-32.8306	2.21533	-44.3548	-0.00414568	3.34353	3.71154	1.36794	

0.00118	10.4445	2	-9.68422e-08	0.0999997	-24.9246	-0.751467	-1.49094	-32.8306	2.21534	-44.3549	-0.00816038	3.34353	3.71154	1.36795	

0.0012	10.4445	1.99999	-1.90626e-07	0.0999994	-24.9249	-0.751473	-1.49096	-32.8308	2.21534	-44.3551	-0.0160629	3.34353	3.71155	1.36795	

0.00122	10.4445	1.99998	-3.75233e-07	0.0999989	-24.9255	-0.751487	-1.49099	-32.8311	2.21536	-44.3555	-0.0316183	3.34354	3.71156	1.36795	

0.00124	10.4445	1.99996	-7.38621e-07	0.0999979	-24.9265	-0.751513	-1.49106	-32.8317	2.21539	-44.3563	-0.0622372	3.34355	3.71158	1.36797	

0.00126	10.4446	1.99993	-1.45392e-06	0.0999958	-24.9287	-0.751566	-1.49118	-32.833	2.21546	-44.3579	-0.122505	3.34356	3.71162	1.36799	

0.00128	10.4448	1.99986	-2.8619e-06	0.0999917	-24.9328	-0.751668	-1.49143	-32.8354	2.21558	-44.361	-0.241126	3.3436	3.71169	1.36803	

0.0013	10.4451	1.99972	-5.63316e-06	0.0999837	-24.941	-0.75187	-1.49192	-32.8402	2.21583	-44.367	-0.474568	3.34366	3.71185	1.36812	

0.00132	10.4458	1.99945	-1.10869e-05	0.099968	-24.9571	-0.752268	-1.49289	-32.8495	2.21631	-44.379	-0.933867	3.34379	3.71215	1.3683	

0.00134	10.4471	1.99891	-2.18166e-05	0.0999371	-24.9888	-0.753051	-1.49478	-32.868	2.21726	-44.4025	-1.83708	3.34404	3.71274	1.36865	

0.00136	10.4497	1.99786	-4.29132e-05	0.0998766	-25.0512	-0.75459	-1.49849	-32.9042	2.21913	-44.4487	-3.61133	3.34454	3.7139	1.36932	

0.00138	10.4548	1.9958	-8.4342e-05	0.0997582	-25.1741	-0.757614	-1.50576	-32.9756	2.2228	-44.5395	-7.08851	3.34552	3.71619	1.37066	

0.0014	10.4647	1.99174	-0.000165498	0.0995282	-25.4159	-0.763541	-1.51991	-33.1158	2.22998	-44.7179	-13.8678	3.34742	3.72065	1.37326	

0.00142	10.4839	1.98381	-0.000323692	0.0990849	-25.8918	-0.775113	-1.54734	-33.391	2.24391	-45.0671	-26.9277	3.35111	3.72929	1.3783	

0.00144	10.5205	1.96839	-0.000629103	0.0982434	-26.8271	-0.79752	-1.5999	-33.9295	2.27059	-45.7473	-51.463	3.35817	3.7458	1.38793	

0.00146	10.5881	1.93887	-0.00120793	0.0966879	-28.6586	-0.840251	-1.69891	-34.9747	2.32039	-47.0572	-95.1364	3.37127	3.77647	1.40582	

0.00148	10.7064	1.88401	-0.00226553	0.0939444	-32.2051	-0.919396	-1.87967	-36.971	2.40906	-49.5252	-162.105	3.3944	3.83063	1.43742	

0.0015	10.8951	1.78825	-0.0040707	0.0894776	-38.8216	-1.05806	-2.19154	-40.613	2.55432	-53.9415	-227.253	3.43182	3.91825	1.48853	

0.00152	11.1553	1.63938	-0.00681778	0.0830838	-50.0833	-1.27733	-2.67658	-46.6129	2.76219	-61.053	-205.649	3.4845	4.0416	1.56049	

0.00154	11.444	1.44357	-0.0104265	0.0753994	-66.0494	-1.56393	-3.30022	-54.878	3.00264	-70.6095	-55.9853	3.5444	4.18183	1.6423	

0.00156	11.6781	1.25842	-0.0138097	0.0686493	-81.8286	-1.83364	-3.88153	-62.7027	3.20487	-79.5255	71.0752	3.5941	4.2982	1.71018	

0.00158	11.8259	1.13504	-0.0160046	0.0643519	-92.9794	-2.02368	-4.28975	-67.9227	3.3357	-85.4544	130.294	3.626	4.37289	1.75375	

0.0016	11.9062	1.06733	-0.0172274	0.0619593	-99.4047	-2.13366	-4.52589	-70.8029	3.40772	-88.7259	155.137	3.6435	4.41385	1.77765	

0.00162	11.9471	1.03303	-0.0178469	0.0607462	-102.778	-2.19155	-4.65011	-72.2778	3.44466	-90.4018	165.948	3.65245	4.43482	1.78988	

0.00164	11.9671	1.01635	-0.0181483	0.0601555	-104.456	-2.22036	-4.71192	-73.0047	3.46279	-91.2274	171.008	3.65684	4.44511	1.79588	

0.00166	11.9766	1.00835	-0.0182932	0.0598718	-105.258	-2.23411	-4.74144	-73.3506	3.47138	-91.6201	173.373	3.65893	4.44998	1.79872	

0.00168	11.9811	1.00456	-0.0183617	0.0597377	-105.638	-2.24062	-4.75541	-73.5134	3.47544	-91.8051	174.446	3.65991	4.45228	1.80007	

0.0017	11.9832	1.0028	-0.0183937	0.0596749	-105.819	-2.24373	-4.76208	-73.5912	3.47738	-91.8934	174.962	3.66038	4.45338	1.8007	

0.00172	11.9842	1.00196	-0.0184087	0.0596453	-105.904	-2.24519	-4.76522	-73.6279	3.47828	-91.935	175.211	3.6606	4.45389	1.801	

0.00174	11.9847	1.00157	-0.0184158	0.0596313	-105.943	-2.24588	-4.76668	-73.6449	3.47871	-91.9543	175.323	3.6607	4.45413	1.80114	

0.00176	11.9849	1.00138	-0.0184192	0.0596246	-105.962	-2.2462	-4.76737	-73.6529	3.47891	-91.9634	175.375	3.66075	4.45425	1.80121	

0.00178	11.985	1.0013	-0.0184208	0.0596214	-105.971	-2.24636	-4.76771	-73.6567	3.479	-91.9678	175.4	3.66077	4.4543	1.80124	

0.0018	11.985	1.00125	-0.0184217	0.0596198	-105.975	-2.24643	-4.76786	-73.6585	3.47905	-91.9698	175.411	3.66078	4.45433	1.80126	

0.00182	11.9851	1.00123	-0.0184222	0.0596189	-105.977	-2.24646	-4.76793	-73.6592	3.47907	-91.9707	175.415	3.66079	4.45434	1.80126	

0.00184	11.9851	1.00121	-0.0184224	0.0596183	-105.978	-2.24647	-4.76797	-73.6596	3.47908	-91.9711	175.417	3.66079	4.45434	1.80127	

0.00186	11.9851	1.00121	-0.0184226	0.059618	-105.978	-2.24648	-4.76799	-73.6598	3.47908	-91.9713	175.417	3.66079	4.45435	1.80127	

0.00188	11.9851	1.0012	-0.0184227	0.0596178	-105.979	-2.24649	-4.76801	-73.66	3.47909	-91.9715	175.417	3.66079	4.45435	1.80127	

0.0019	11.9851	1.0012	-0.0184227	0.0596177	-105.979	-2.2465	-4.76803	-73.6601	3.47909	-91.9716	175.416	3.66079	4.45435	1.80127	

0.00192	11.9851	1.0012	-0.0184227	0.0596176	-105.98	-2.2465	-4.76805	-73.6603	3.4791	-91.9718	175.415	3.66079	4.45435	1.80127	

0.00194	11.9851	1.0012	-0.0184227	0.0596175	-105.98	-2.24651	-4.76807	-73.6604	3.4791	-91.972	175.415	3.6608	4.45436	1.80127	

0.00196	11.9851	1.0012	-0.0184227	0.0596174	-105.98	-2.24652	-4.76809	-73.6606	3.4791	-91.9722	175.414	3.6608	4.45436	1.80128	

