 	density	u_1	u_2	u_3	sigma_11	sigma_12	sigma_13	sigma_22	sigma_23	sigma_33	I1	I2	I3	dI_1	dI_2	dI_3
0	9.11224	4.00211e-10	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

2e-05	9.11224	5.92185e-10	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

4e-05	9.11224	9.66431e-10	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

6e-05	9.11224	1.53283e-09	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

8e-05	9.11224	2.37782e-09	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.0001	9.11224	3.64718e-09	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00012	9.11224	5.55441e-09	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00014	9.11224	8.40923e-09	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00016	9.11224	1.2661e-08	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00018	9.11224	1.89594e-08	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.0002	9.11224	2.82388e-08	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00022	9.11224	4.18349e-08	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00024	9.11224	6.16458e-08	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00026	9.11224	9.03525e-08	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00028	9.11224	1.31719e-07	0.5	1	-31.3337	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.0003	9.11224	1.90996e-07	0.5	1	-31.3337	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00032	9.11224	2.75467e-07	0.5	1	-31.3337	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00034	9.11224	3.95165e-07	0.5	1	-31.3337	0.901365	-0.177272	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00036	9.11224	5.63833e-07	0.5	1	-31.3337	0.901364	-0.177272	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00038	9.11224	8.00171e-07	0.5	1	-31.3337	0.901364	-0.177272	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.0004	9.11224	1.12947e-06	0.5	1	-31.3337	0.901364	-0.177272	-29.9388	4.24064	-30.345	1000	3.05165	3.09329	1.04123	

0.00042	9.11224	1.58569e-06	0.5	1	-31.3337	0.901363	-0.177272	-29.9387	4.24063	-30.345	1000	3.05165	3.09329	1.04123	

0.00044	9.11224	2.2142e-06	0.5	1	-31.3336	0.901363	-0.177271	-29.9387	4.24063	-30.345	1000	3.05165	3.09329	1.04123	

0.00046	9.11224	3.07515e-06	0.5	1	-31.3336	0.901362	-0.177271	-29.9387	4.24063	-30.345	1000	3.05165	3.09329	1.04123	

0.00048	9.11224	4.24778e-06	0.5	1	-31.3335	0.90136	-0.17727	-29.9386	4.24063	-30.3449	1000	3.05165	3.09329	1.04123	

0.0005	9.11223	5.83584e-06	0.5	1	-31.3334	0.901358	-0.177269	-29.9386	4.24062	-30.3449	1000	3.05165	3.09329	1.04123	

0.00052	9.11223	7.97418e-06	0.5	1	-31.3333	0.901356	-0.177268	-29.9385	4.24062	-30.3448	1000	3.05165	3.09329	1.04123	

0.00054	9.11223	1.0837e-05	0.5	1	-31.3331	0.901352	-0.177266	-29.9384	4.24061	-30.3447	1000	3.05165	3.09329	1.04123	

0.00056	9.11222	1.46476e-05	0.5	1	-31.3329	0.901348	-0.177264	-29.9382	4.2406	-30.3445	1000	3.05164	3.09328	1.04123	

0.00058	9.11221	1.96906e-05	0.5	1	-31.3326	0.901342	-0.177261	-29.938	4.24059	-30.3443	1000	3.05164	3.09328	1.04123	

0.0006	9.1122	2.63257e-05	0.5	1	-31.3322	0.901334	-0.177258	-29.9378	4.24057	-30.344	1000	3.05164	3.09327	1.04122	

0.00062	9.11218	3.5005e-05	0.5	1	-31.3317	0.901324	-0.177253	-29.9374	4.24055	-30.3437	1000	3.05164	3.09327	1.04122	

0.00064	9.11217	4.62917e-05	0.5	1	-31.3311	0.901311	-0.177247	-29.937	4.24052	-30.3432	999.999	3.05163	3.09326	1.04121	

0.00066	9.11214	6.08833e-05	0.5	1	-31.3302	0.901294	-0.177239	-29.9364	4.24048	-30.3427	999.999	3.05163	3.09325	1.04121	

0.00068	9.11211	7.96366e-05	0.5	1	-31.3291	0.901272	-0.17723	-29.9357	4.24043	-30.3419	999.999	3.05162	3.09323	1.0412	

0.0007	9.11207	0.000103596	0.5	1	-31.3278	0.901244	-0.177217	-29.9347	4.24037	-30.341	999.999	3.05161	3.09321	1.04119	

0.00072	9.11202	0.000134026	0.499999	1.00001	-31.326	0.901208	-0.177202	-29.9335	4.24029	-30.3398	999.999	3.0516	3.09319	1.04118	

0.00074	9.11195	0.000172443	0.499999	1.00001	-31.3238	0.901163	-0.177182	-29.932	4.24019	-30.3383	999.998	3.05158	3.09316	1.04117	

0.00076	9.11187	0.000220654	0.499999	1.00001	-31.3211	0.901107	-0.177158	-29.9302	4.24006	-30.3364	999.998	3.05156	3.09312	1.04115	

0.00078	9.11177	0.000280795	0.499998	1.00001	-31.3176	0.901036	-0.177129	-29.9278	4.23991	-30.3341	999.997	3.05154	3.09308	1.04112	

0.0008	9.11164	0.000355365	0.499998	1.00001	-31.3134	0.900949	-0.177093	-29.925	4.23971	-30.3312	999.996	3.05151	3.09302	1.0411	

0.00082	9.11149	0.00044727	0.499997	1.00002	-31.3081	0.900842	-0.17705	-29.9214	4.23948	-30.3276	999.996	3.05148	3.09295	1.04106	

0.00084	9.1113	0.000559853	0.499996	1.00002	-31.3017	0.900711	-0.176997	-29.9171	4.23919	-30.3232	999.995	3.05143	3.09286	1.04102	

0.00086	9.11107	0.000696934	0.499995	1.00002	-31.294	0.900551	-0.176934	-29.9118	4.23883	-30.3179	999.993	3.05138	3.09276	1.04096	

0.00088	9.1108	0.000862829	0.499994	1.00003	-31.2846	0.900357	-0.176859	-29.9054	4.23841	-30.3115	999.992	3.05132	3.09263	1.0409	

0.0009	9.11046	0.00106237	0.499992	1.00004	-31.2734	0.900124	-0.17677	-29.8978	4.23789	-30.3038	999.99	3.05124	3.09248	1.04083	

0.00092	9.11007	0.00130094	0.49999	1.00004	-31.2599	0.899846	-0.176666	-29.8887	4.23728	-30.2947	999.988	3.05115	3.09229	1.04073	

0.00094	9.10959	0.00158442	0.499987	1.00005	-31.244	0.899516	-0.176545	-29.8779	4.23656	-30.2838	999.986	3.05104	3.09208	1.04063	

0.00096	9.10904	0.00191923	0.499984	1.00006	-31.2253	0.899126	-0.176404	-29.8651	4.2357	-30.271	999.984	3.05092	3.09182	1.0405	

0.00098	9.10839	0.00231228	0.499979	1.00007	-31.2033	0.898669	-0.176241	-29.8502	4.2347	-30.256	999.981	3.05077	3.09152	1.04035	

0.001	9.10763	0.00277092	0.499974	1.00008	-31.1777	0.898136	-0.176055	-29.8329	4.23354	-30.2385	999.978	3.05059	3.09117	1.04018	

